system:index,COMID,Cloud_Cover,azimuth,blue,cScore,date,dswe,dswe_sd,green,hillshade,hillshadow,hillshadow_sd,nir,path,pixelCount,qa,red,row,sat,swir1,swir1_sd,swir2,zenith,.geo
1_1_LT05_038037_19840508,10001770,0,114.503342,376,0,1984-05-08T17:37:34Z,1,0,525,129,1,0,357,38,39,68,421,37,5,290,81.08690478460542,251,30.317291,NA
1_1_LT05_038037_19840609,10001770,0,104.006714,391,0,1984-06-09T17:38:23Z,1,0,513,118,1,0,349,38,44,68,412,37,5,239,70.14027783221393,182,27.689945,NA
1_1_LT05_038037_19841202,10001770,0,151.799835,382,0,1984-12-02T17:40:07Z,1,0,500,222,1,0,306,38,43,68,333,37,5,143,100.98278023371978,91,60.695602,NA
1_1_LT05_038037_19841218,10001770,2,150.785095,377,0.013677217663149667,1984-12-18T17:40:18Z,1,0,442,226,1,0,282,38,45,68,326,37,5,159,74.05583479150489,164,62.635101,NA
1_1_LT05_038037_19850103,10001770,0,148.680557,351,0,1985-01-03T17:40:27Z,1,0,447,227,1,0,215,38,46,68,331,37,5,157,91.71149387967046,100,62.887634,NA
1_1_LT05_038037_19850119,10001770,0,145.875015,381,0,1985-01-19T17:40:33Z,1,0,456,224,1,0,259,38,43,68,296,37,5,190,81.12549952929581,95,61.362404,NA
1_1_LT05_038037_19850730,10001770,0,110.616402,299,0,1985-07-30T17:40:00Z,1,0,413,132,1,0,246,38,41,68,290,37,5,196,48.03429272728836,189,31.190914,NA
1_1_LT05_038037_19850831,10001770,17,125.834801,NA,1,1985-08-31T17:39:39Z,NA,NA,NA,NA,NA,NA,NA,38,0,NA,NA,37,5,NA,NA,NA,36.598709,NA
1_1_LT05_038037_19850916,10001770,0,133.697021,326,0,1985-09-16T17:39:26Z,1,0,464,165,1,0,234,38,42,68,279,37,5,176,79.77193966725794,138,40.341679,NA
1_1_LT05_038037_19851002,10001770,0,140.550507,297,0,1985-10-02T17:39:17Z,1,0,415,179,1,0,238,38,42,68,288,37,5,156,61.680362516617905,104,44.69997,NA
